stated in	source
Qlik	QlikTech
Fox Entertainment Group	Fox Entertainment Group, Inc.
Lloyd's Register	Lloyd's Register of Shipping
C. H. Robinson Worldwide	C.H. Robinson Worldwide, Inc.
Kering	PPR
Kering	Pinault-Printemps-Redoute
Jacksonville University	JU
Bomis	Bomis.com
Utah Valley University	Utah Valley State College
Utah Valley University	Utah Valley Community College
Utah Valley University	Utah Technical College at Provo
Utah Valley University	Utah Trade Technical Institute
Utah Valley University	Central Utah Vocational School
Utah Valley University	UVU
Jagex	Jagex Games Studio
Maxtor	Maxtor Corporation
University of Tasmania	UTas
Maruti Suzuki	Maruti Udyog
Thawte Consulting	Thawte
C1RCA	Circa
Bus Éireann	Bus Eireann
Bus Éireann	Irish Bus
Cadillac Fairview	Cadillac Fairview Corporation Limited
California State University, Fullerton	CSUF
California State University, Fullerton	CSU Fullerton
California State University, Fullerton	Cal State Fullerton
California State University, Fullerton	California State University Fullerton
California State University, Sacramento	Sacramento State
Cuauhtémoc Moctezuma Brewery	Cervecería Cuauhtémoc-Moctezuma
The 3DO Company	3DO
The 3DO Company	SMSG, Inc.
Renmin University of China	Renmin University
Renmin University of China	People's University of China
Renmin University of China	People's University
Nash Motors	Nash Motors Company
Church's Chicken	Texas Chicken
Indian	Indian Motorcycle Manifacturing Company
University of Mauritius	UOM
News UK	News International
News UK	News Corp UK & Ireland Limited
Wuhan University	WHU
Pontifical Catholic University of Chile	Catholic University of Chile
OMX	OMX AB
OMX	Aktiebolaget Optionsmäklarna/Helsinki Stock Exchange
Swedish Performing Rights Society	STIM
Terra Networks	Terra Networks, S.A.
Terra Networks	Telefónica Interactiva, S.A.
Terra Networks	Telefónica Comunicaciones Interactivas, S.A.
Iowa State University	Iowa State University of Science and Technology
Iowa State University	Iowa State College
Ghent University	UGent
Ghent University	University of Ghent
Rikkyo University	Rikkyō University
Rikkyo University	Rikkyō Daigaku
Rikkyo University	Rikkyo Daigaku
Lafarge	Lafarge S.A.
University of Tennessee	University of Tennessee, Knoxville
University of Tennessee	UTK
University of Tennessee	UT Knoxville
National University of Colombia	Unal
National University of Colombia	UN
National University of Colombia	Universidad Nacional
National University of Colombia	Universidad Nacional de Colombia
Lloyds Bank	Lloyds Bank plc
Lloyds Bank	Lloyds TSB
Accademia Albertina	Accademia Albertina delle Belle Arti
Accademia Albertina	Albertine Academy of Fine Arts
Budapest University of Technology and Economics	Royal Technical University of Budapest
Budapest University of Technology and Economics	Royal Joseph Technical University
Bandai Namco Games	Namco Bandai Games
Bandai Namco Games	BNGI
Universidade Federal do Paraná	UFPR
Universidade Federal do Paraná	Federal University of Paraná
Domino Recording Company	Domino
Forschungszentrum Informatik	FZI
University of Franeker	Universiteit van Friesland
Osaka Exchange	Osaka Securities Exchange
General Dynamics Electric Boat	Electric Boat Co.
Singer Corporation	I.M. Singer & Co.
Singer Corporation	Singer Manufacturing Company
Singer Corporation	The Singer Company
WSP Group	WSP Group plc
Entertainment One	Entertainment One, Ltd.
Entertainment One	eOne
Alenia	Alenia Aeronautica
Eskom	ESKOM
Eskom	ESCOM
Eskom	Electricity Supply Commission
NNDB	Notable Names Database
Université de Namur	Facultés universitaires Notre-Dame de la Paix
Université de Namur	FUNDP
Université de Namur	UNamur
Fadesa	Edificaciones Coruñesas, S.A.
Fadesa	Urbanizadora Inmobiliaria Fadese, S.A.
Fadesa	Fadesa Inmobiliaria, S.A.
Fadesa	Fadesa Inmobiliaria
REFER	Rede Ferroviária Nacional
Scaled Composites	Scaled Composites, LLC
University of Exeter	Exeter University
SAI Ambrosini	Ambrosini
SAI Ambrosini	Società Aeronautica Italiana
Glenn L. Martin Company	Martin Company
National Australia Bank	NAB
National Australia Bank	nab
National Australia Bank	National Australia Bank Limited
Fortum	Fortum Oyj
Royal Copenhagen	Royal Porcelain Factory
Royal Copenhagen	Den Kongelige Porcelænsfabrik
Southern Illinois University Carbondale	SIU Carbondale
Nanjing Normal University	NNU
University of Dhaka	Dhaka University
University of Dhaka	DU
GOG.com	Good Old Games
GOG.com	GOG
Gant U.S.A.	GANT
Gathering of Developers	God Games
Gathering of Developers	Gathering
GEICO	Government Employees Insurance Company
Reality Pump Studios	Reality Pump
Gloster	GAC
Gloster	Gloster Aircraft Company
Gloster	Gloucestershire Aircraft Company Limited
Gnome et Rhône	Gnome Engine Company
Gnome et Rhône	Gnome-Rhone
Gnome et Rhône	Société Des Moteurs Gnome
Visceral Games	EA Redwood Shores
Intouch Holdings	Shin Corporation
OCAD University	Ontario College of Art and Design University
OCAD University	OCAD U
OCAD University	OCADU
OCAD University	OCAD
IHI Corporation	Ishikawajima-Harima Heavy Industries Co., Ltd.
Kwame Nkrumah University of Science and Technology	KNUST
Institut National de la Recherche Agronomique	INRA
International Rescue Committee	IRC
Isotta Fraschini	Società Milanese Automobili Isotta, Fraschini & C.
Ivchenko-Progress	OKB zavoda 478
Jones Lang LaSalle	Jones Lang LaSalle Incorporated
Moscow Aviation Institute	State University of Aerospace Technology
Moscow Aviation Institute	MAI
University of Calabria	UNICAL
University of Calabria	Unical
Metal Storm	Metal Storm Limited
Danish Audiophile Loudspeaker Industries	DALI
Saunders-Roe	Saro
Saunders-Roe	Saunders Roe
Saunders-Roe	Saunders-Roe Limited
Bloch	Société des Avions Marcel Bloch
Bloch	Societe des Avions Marcel Bloch
Pacific Gas and Electric Company	PG&E
Pacific Gas and Electric Company	PG&E Corporation
On2 Technologies	The Duck Corporation
Lichte Porzellan	Lichte porcelain
InterContinental	InterContinental Hotels & Resorts
Universidade Federal de Santa Catarina	UFSC
Universidade Federal de Santa Catarina	Federal University of Santa Catarina
Adani Power	Adani Power Limited
Montana State University - Bozeman	Montana State University
Biografisch Portaal	BPN
Lycoming	Avco Lycoming
Lycoming	Textron Lycoming
Lycoming	Lycoming Engines
Lycoming	Demorest Manufacturing Company
Lycoming	Demorest Fashion and Sewing-Machine Company
Lycoming	Lycoming Foundry and Machine Company
Mariella Burani Fashion Group	MBFG
Mid Sweden University	Mitthogskolan
Saudi Binladin Group	SBG
University of Cádiz	Universidad de Cádiz
University of Cádiz	UCA
Northwestern Ship Repairers and Shipbuilding	Northwestern Shiprepairers & Shipbuilders
Nuvoton	新唐科技
Open Text Corporation	OpenText Corporation
Revolution Software	Revolution Software Ltd.
Swan Hunter	Swan Hunter & Wigham Richardson
RSA	RSA Security LLC
RSA	RSA Security, Inc.
Southern Federal University	Rostov State University
Atlantic Coast Line Railroad	ACL
Official Charts Company	The Official UK Charts Company
Official Charts Company	Chart Information Network
Official Charts Company	OCC
Official Charts Company	CIN
Stuarts	Stuarts Department Stores Inc
Continental Motors	Continental Aircraft Engine Company
Continental Motors	Teledyne Continental Motors
University of Hawaii at Hilo	University of Hawaiʻi at Hilo
University of Hawaii at Hilo	UHH
University of Hawaii at Hilo	UH Hilo
SIG Sauer	SIG Sauer GmbH
Siemens & Halske	Siemens-Halske
Siemens & Halske	Telegraphen-Bauanstalt von Siemens & Halske
Cesar Vallejo University	Universidad César Vallejo
Leeds Metropolitan University	Leeds Polytechnic
Tapee University	Tapee College
Tate & Lyle	Tate & Lyle plc
Clerget-Blin	Société Clerget-Blin et Cie
Clerget-Blin	Pierre Clerget
University of Mines and Technology	UMaT
Voxx International	Audiovox
Zynga Dallas	Bonfire Studios
PZL-Świdnik	PZL-Swidnik
PZL-Świdnik	PZL Swidnik
Corporation for Public Broadcasting	CPB
Mediaset España	Mediaset España Comunicación
Mediaset España	Gestevisión Telecinco
Sumitomo Mitsui Banking Corporation	SMBC
Maple Leaf Foods	Canada Packers
National Westminster Bank	NatWest
National Westminster Bank	National Westminster Bank Plc
Sociedad Española de Construcción Naval	Sociedad Española de Construcción Naval - (SECN)
Sociedad Española de Construcción Naval	Spanish Society for Naval Construction (SECN)
Nirma University	Nirma University of Science and Technology
Anaconda Copper	Amalgamated Copper Mining Company
Carrozzeria Barbi	Barbi
Bofors Carl Gustaf	Carl Gustafs stads gevärsfaktori
Charvet Place Vendôme	Charvet
DIGGER DTR	Digger Foundation
Imagi Animation Studios	Imagi Studios
Imagi Animation Studios	Imagi
Boston University School of Law	BU Law
Boston University School of Law	Boston University Law School
First National Bank	FNB
Gandi	Gandi.net
Gandi	Gandi SAS
Gandi	Gestion et Attribution des Noms de Domaine sur Internet
Henry Holt and Company	Henry Holt & Company
Institut national de la recherche scientifique	INRS
English Schools Foundation	ESF
Oysho	Oyshp España, S.A.
News Corp Australia	News Limited
Orange Romania	Orange România
Kongsberg Defence & Aerospace	KDA
Bahçeşehir University	Bahçeşehir Üniversitesi
Semitan	Société d'économie mixte des transports en commun de l'agglomération nantaise
Semitan	SEMITAN
Stack Exchange Network	StackExchange
Street & Smith	Street & Smith Publications, Inc.
Andhra University	Andhra Viswa Kala Parishad
Kerala Co-operative Milk Marketing Federation	Milma
Bharathiar University	BU
Manuel L. Quezon University	Makyo
Samara State Regional Academy	Nayanova University
Universidade do Estado de Santa Catarina	UDESC
Universidade do Estado de Santa Catarina	Santa Catarina State University
Universidade do Estado de Santa Catarina	State University of Santa Catarina
University of the Littoral Opal Coast	ULCO
Van's Aircraft	Vans Aircraft
WET Enterprises	Water Entertainment Technologies
WET Enterprises	WET Design
WSOY	Werner Söderström Corporation
Wockhardt	Worli Chemical Works
Emirates Integrated Telecommunications Company	du
Reliance Entertainment	Reliance BIG Entertainment
Xi'an Aero-Engine Corporation	XAEC
Islamic Azad University of Nishapur	Islamic Azad University of Neyshabur
China CNR Corporation	China CNR Corporation Limited
China CNR Corporation	CNR
China CNR Corporation	China North Locomotive and Rolling Stock Industry (Group) Corporation
S Group	S-ryhmä
S Group	Suomen Osuuskauppojen Keskuskunta
S Group	SOK
AST	Andrey-Sergei-Tatiana
Bharathidasan University	BDU
Interdnestrcom	Interdnestrkom
International College of Economics and Finance	ICEF
Moscow Architectural Institute	MArchI
Moscow State Technical University	MAMI
Moscow State Technical University	МАМИ
National Bank of Uzbekistan	NBU
National Research Technological University	Moscow Institute of Steel and Alloys
National Research Technological University	Moscow Institute of Steel
Missouri University of Science and Technology	Missouri S&T
Universidade Federal do Tocantins	UFT
4oD	4 on Demand
AMC Networks	AMC Networks Inc.
Adam & Eve	adam&eve
Adam & Eve	adam and eve
Adam & Eve	adameve
Advanced Aircraft	Advanced Aircraft Corporation
Advanced Aircraft	AAC
Advanced Aircraft	Riley Advanced Aircraft Corp.
ArcelorMittal Galați	Galați Steel Works
ArcelorMittal Galați	Sidex Galați
Aerial Service	Aerial Service Corporation
Aerial Service	Mercury Aircraft
Amirkabir University of Technology	Tehran Polytechnic
Angel	Angel.com Incorporated
Angel	Angel.com
Arriva UK Trains	Arriva UK Trains Limited
Artificial Eye	Artificial Eye Film Company Ltd
Aurel Vlaicu University of Arad	Universitatea Aurel Vlaicu
Aurel Vlaicu University of Arad	UAV
Avonside Engine Company	Avonside Engine Company Ltd.
Azerbaijan University	University of Azerbaijan
BankBazaar.com	BankBazaar
Boux Avenue	Boux Avenue Ltd.
Universidade Estadual da Paraíba	UEPB
Universidade Estadual da Paraíba	State University of Paraíba
Nalli	Nalli - Chinnasami Chetty
CJ E&M Film Division	CJ Entertainment
CJ E&M Film Division	CJ E&M Pictures
CMG	Computer Management Group
Caffé Vita Coffee Roasting Company	Caffe Vita
InfiniDB	Calpont Corporation
Capriotti's	Capriotti’s Sandwich Shop
China Food TV	中华美食频道
China Motor Bus	CMB
Cirque Productions	Cirque Dreams
Collingwood & Co.	Collingwood O'Hare
Telekom Romania	Cosmote Romania
Telekom Romania	Cosmote România
Telekom Romania	Cosmote Romanian Mobile Telecommunications SA
Cotai Jet	Cotai Water Jet
DZRJ-TV	RJTV
CNR Datong Electric Locomotive Co.	Datong locomotive factory
Electronic Frontier Canada	EFC
Extra Hipermercados	Extra
Extra	Extra MSA Services Ltd
Falkland Oil and Gas	FOGL
Falkland Oil and Gas	Falkland Oil and Gas Ltd
Universidade Federal do Amazonas	UFAM
Universidade Federal do Amazonas	Federal University of Amazonas
Universidade Federal do Maranhão	UFMA
Universidade Federal do Maranhão	Federal University of Maranhão
Franklin	Franklin Automobile Company
From The Bench Digital Entertainment	From The Bench Games
G1	GO:0000082
Universidade Federal da Integração Latino-Americana	UNILA
Gocompare.com	gocompare
Gocompare.com	go compare
glh.	GLH Hotels Management (UK) Ltd
University of Cervera	Royal and Pontifical University of Cervera
University of Cervera	Royal University of Cervera
University of Cervera	Cervera University
University of Cervera	Universidad de Cervera
Hall	Hall Cycle and Plating Company
Hall	Hall Motor Car Company
Hamilton	Hamilton Motors Company
Heraldry of the World	NGW
Hesketh Motorcycles	Hesketh
Hobby Express	Hobby Lobby International
Hobby Express	Family Time Hobbies, LLC
Tamkang University	TKU
ITeM	Instituto del Tercer Mundo
ITeM	Third World Institute
InterServ International Inc	InterServ
Jisc infoNet	JISC infoNet
Jaguar Land Rover	Jaguar Land Rover Automotive
Kelley Blue Book	KBB
Bell/Agusta Aerospace Company	BAAC
Medium	Cross Computer Consulting
Medium	Coptix Incorporated
Medium	Coptix Inc.
Nova	Nova Group
Chef	Opscode
Orange	Orange Business Services India
Orange	OBS India
POET	POET LLC
Pfizer UK	Pfizer Limited
Play	P4
Pokka Sapporo Food & Beverage	Pokka
Project Vote Smart	Vote Smart
Project Vote Smart	PVS
Redbus.in	BookBusNow
Regent's University London	Regent's College
Rustan's	Rustan's Department Store
Saaremaa Shipping Company	Saaremaa Laevakompanii
Sabritas	Sabritas, S. de R.L. de C.V.
Saitama Medical University	Saitama Medical School
Samuel Merritt University	Samuel Merritt College
Tajikistan University of Technology	Донишгоҳи техникии Тоҷикистон ба номи М.С. Осимӣ
Said Jamaluddin Afghani University	SJAU
Tefen	Tefen Management Consulting
Tefen	Tefen Consulting
Universidade Federal de Roraima	Federal University of Roraima
William Low	Willie Low's
William Low	Wm Low
New Lantao Bus	NLB
National Society for Road Safety	NTF
Alliance Atlantis	Alliance Atlantis Communications Inc.
Mt.Gox	Magic: The Gathering Online eXchange
Mt.Gox	MtGox
Mt.Gox	Mt. Gox
Lille University of Health and Law	University Lille II
Lille University of Health and Law	University Lille 2
Lille University of Health and Law	Université Lille 2
Lille University of Health and Law	University of Lille 2
Lille University of Health and Law	university de Lille 2
Lille University of Health and Law	universite Lille 2
Lille University of Health and Law	universite de Lille 2
National University of Physical Education and Sport of Ukraine	Kyiv State Institute of Physical Culture
National University of Physical Education and Sport of Ukraine	Kyiv Institute of Physical Education
National University of Physical Education and Sport of Ukraine	Kyiv University of Physical Culture
National University of Physical Education and Sport of Ukraine	UNUPES
National University of Physical Education and Sport of Ukraine	Kyiv Institute of Physical Education and Sport
National University of Physical Education and Sport of Ukraine	National University of Physical Education and Sport of Ukraine
National University of Physical Education and Sport of Ukraine	Kyiv Institute of Physical Culture and Sports
National University of Physical Education and Sport of Ukraine	Kyiv State Institute of Physical Culture and Sports
Archive.today	Archive.is
Google Fonts	Google Web Fonts
Orbitel (Telecommunications)	Orbitel
Canal do Otário	Otário Anonymous
Canal do Otário	Canal del Parvo
Pierro	Pierro Margaret River Vineyards
Forever	Forever.com
Altorfer Bros. Company	ABC Washer Company
Altorfer Bros. Company	ABC
Altorfer Bros. Company	Altorfer Brothers Company
Pinnacle Foods	Pinnacle Foods Group LLC
Pinnacle Foods	Vlasic Foods International
Maganlal Dresswala & Co.	Maganlal Dresswala
Champagne Besserat de Bellefon	Besserat de Bellefon
Champagne Besserat de Bellefon	Cuvée des Moines
Goibibo	goibibo.com
Gujarat Forensic Sciences University	GFSU
Snowbird Airlines	Snowbird Airlines Oy
ACTIVE Network, LLC	ACTIVE
ACTIVE Network, LLC	ACTIVE Network
ACTIVE Network, LLC	ACTIVE.com
Dōnan Isaribi Railway	Donan Isaribi Railway
Airbus	Airbus SAS
Google	Google Inc.
Intel	Intel Corporation
Megaupload	Megaupload Limited
recorded at	studio
recorded at	recording studio
recorded at	recording venue
Nokia	Nokia Corporation
Nokia	Nokia Oyj
AvtoVAZ	Lada
AvtoVAZ	Volzhsky Avtomobilny Zavod
AvtoVAZ	Avtomobilniy Volzhsky Avtomobilny Zavod
Piraeus Bank	Winbank
Piraeus Bank	Piraeus Bank Group
Amazon.com	Amazon.com, Inc.
Renault	Renault S.A.
University of Tokyo	Todai
University of Tokyo	Universitas Tociensis
VMware	VMware Inc.
Moscow State University	MSU
Moscow State University	Lomonosov Moscow State University
Moscow State University	Lomonosov University
Hutchison Whampoa	Hutchinson Whampoa
Oracle Corporation	Oracle Corporation
Oracle Corporation	Oracle
Nissan	Nissan
Harbin Engineering University	HEU
Miguel Hernández University of Elche	University Miguel Hernandez
Miguel Hernández University of Elche	Universidad Miguel Hernández
Miguel Hernández University of Elche	Miguel Hernández University
Miguel Hernández University of Elche	University Miguel Hernández
Miguel Hernández University of Elche	Universitat Miguel Hernández
Miguel Hernández University of Elche	Universidad Miguel Hernandez
Universidad Politécnica de Madrid	UPM
Universidad Politécnica de Madrid	Technical University of Madrid
Universidad Politécnica de Madrid	Polytechnical University of Madrid
Agricultural Bank of China	ABC
Alvis Car and Engineering Company Ltd	Alvis
Aston Martin	Aston Martin Lagonda Limited
AOL	America Online
AOL	AO-Hell
Fabryka Samochodów Ciężarowych	FSC
Holden	GM Holden Ltd (Holden)
Holden	Holden Ltd
Holden	General Motors-Holden's Ltd
Lite-On	LiteOn
Lite-On	LiteON
Maybach	Maybach-Motorenbau GmbH
Hanyang University	Hanyang Taehakkyo
University of Erlangen-Nuremberg	Friedrich-Alexander-Universität Erlangen-Nürnberg
University of Erlangen-Nuremberg	FAU
GameRankings	Game Rankings
European Pressphoto Agency	European Pressphoto Agency B.V.
Sony	Sony Corporation
Mail.ru	Mail.Ru Group
Autonomous University of Barcelona	Universitat Autònoma de Barcelona
Ford Motor Company	Ford
Ford Motor Company	FoMoCo
Ford Motor Company	Ford Motors
Ford Motor Company	Ford Motor
Ford Motor Company	Ford Motor Co.
Ford Motor Company	Ford Motor Corporation
University of Milan	Università degli Studi di Milano
University of Milan	Statale
University of Milan	Università Statale
University of Milan	Milan University
University of Milan	Statale University
CNN	CNN.co.jp
CNN	CNN
CNN	CableNewsNetwork
CNN	Cable News Network
CNN	ケーブルニュースネットワーク
CNN	CNN USA
CNN	CNN/U.S.
Boston University	BU
Sanyo	Sanyo Electric Co., Ltd
Indonesian Aerospace	IAe
Indonesian Aerospace	Dirgantara Indonesia
Indonesian Aerospace	DI
Indonesian Aerospace	Industri Pesawat Terbang Nusantara
Indonesian Aerospace	IPTN
Indonesian Aerospace	Lembaga Industri Penerbangan Nurtanio
Indonesian Aerospace	LIPNUR
Panasonic	Panasonic Corporation
Panasonic	Matsushita Electric Industrial Co., Ltd.
SSAB	SSAB Swedish Steel AB
SSAB	SSAB Svenskt Stål AB
General Electric	General Electric Company
General Electric	GE
Slashdot	/.
Virginia Polytechnic Institute and State University	Virginia Tech
Virginia Polytechnic Institute and State University	VT
Deutsche Bank	Deutsche Bank AG
General Motors	GM
Taras Shevchenko National University of Kyiv	National University of Kyiv
Levi Strauss & Co.	LS&CO
Levi Strauss & Co.	Levi's
Australian National University	The Australian National University
Australian National University	ANU
University of Virginia's College at Wise	Clinch Valley College of the University of Virginia
University of Virginia's College at Wise	UVa-Wise
University of Virginia's College at Wise	University of Virginia at Wise
University of California, Davis	UC Davis
University of California, Davis	UCD
University of California, Davis	Davis
World Championship Wrestling	WCW
Alcoa	Aluminum Company of America
Hochtief	Hochtief Aktiengesellschaft
Hochtief	HOCHTIEF
University of Göttingen	Georg-August-Universität Göttingen
University of Göttingen	Universität Göttingen
Asus	ASUSTeK
Asus	ASUSTeK Computer Inc.
Leipzig University	University of Leipzig
Leiden University	University of Leiden
Bertelsmann	Bertelsmann SE & Co. KGaA
Unilever	Unilever PLC
Unilever	Unilever N.V.
Unterhaltungssoftware Selbstkontrolle	USK
Deutsche Börse AG	Deutsche Börse Group
Paramount Pictures	Paramount Pictures Corporation
University of Würzburg	Julius-Maximilians-Universität Würzburg
University of California, Berkeley	Cal
University of California, Berkeley	UC Berkeley
University of California, Berkeley	University of California, Berkeley
University of California, Berkeley	Berkeley
University of California, Berkeley	University of California
French Civil Aviation University	École Nationale de l'Aviation Civile
Burger King	Burger King Corporation
Burger King	BK
Ricoh	Ricoh Company Ltd.
Blizzard Entertainment	Blizzard Entertainment, Inc.
Blizzard Entertainment	Silicon & Synapse
Bridgestone	Bridgestone Corporation
University of California	UC
Carnegie Mellon University	CMU
Entertainment Software Rating Board	ESRB
University of Padua	University of Padova
University of Padua	Università di Padova
University of Padua	Università degli Studi di Padova
University of Padua	UNIPD
American Express	Amex
American Express	American Express Company
American Express	American Express Co
Cairo University	Fuad I University
Cairo University	King Fuad I University
Cairo University	Egyptian University
Ziff Davis	Ziff-Davis Publishing Co.
Zilog	Zilog, Inc.
Zilog	ZiLOG
University of Tartu	Tartu Ülikool
University of Tartu	TÜ
Credo Reference	Xrefer
JTBC	Joongang Tongyang Broadcasting Company
Chanel	Chanel S.A.
University of Washington	UW
University of Washington	UDub
National Autonomous University of Mexico	Universidad Nacional Autónoma de México
National Autonomous University of Mexico	UNAM
Snail Games	Snail
Snail Games	Snail Game
Alexa	Alexa Internet
Alexa	Alexa Internet, Inc.
University of Chile	UCh
University of Chile	La Chile
Pontifical University of Saint Thomas Aquinas	Angelicum
Ergonomidesign	Ergonomidesign
Trinity College	College of the Holy and Undivided Trinity of Queen Elizabeth near Dublin
Trinity College	Trinity College, Dublin
Trinity College	Trinity College Dublin
7-Eleven	7-11
Bayerische Oberlandbahn	Bayerische Oberlandbahn GmbH
ABC Motors	All British Engine Company
Anglo-Persian Oil Company	APOC
Anglo-Persian Oil Company	Anglo-Iranian Oil Company
Anglo-Persian Oil Company	AIOC
Westwood Studios	Westwood Associates
Çalık Holding	Calik Holding
888 Holdings	Pacific Poker
888 Holdings	888.com
888 Holdings	Casino on net
888 Holdings	888 Holdings plc
888 Holdings	Cassava Enterprises
888 Holdings	888ladies.com
888 Holdings	888sport.com
888 Holdings	888 holdings
A&E Design	A&e design
A&E Design	A & E Design
A. J. Foyt Enterprises	Foyt Enterprises
A. J. Foyt Enterprises	A.J. Foyt Racing
A. J. Foyt Enterprises	Foyt Racing
A. J. Foyt Enterprises	A.J. Foyt Enterprises
A. J. Foyt Enterprises	A J Foyt Enterprises
A. J. Foyt Enterprises	AJ Foyt Enterprises
A. J. Foyt Enterprises	A. J. Foyt Racing
Bharat Sanchar Nigam	Bharat Sanchar Nigam Limited
Bharat Sanchar Nigam	BSNL
A. Le Coq	A Le Coq
Universidade Federal Fluminense	UFF
Universidade Federal Fluminense	Fluminense Federal University
Oregon Health & Science University	OHSU
ABN AMRO	ABN AMRO Bank N.V.
ABN AMRO	ABN-AMRO
ABN AMRO	ABN-Amro
ABN AMRO	Abn amro morgans
ABN AMRO	ABN AMRO Holding N.V.
ABN AMRO	ABN Amro Holding
ABN AMRO	ABN AMRO Capital
ABN AMRO	ABNAMRO
ABN AMRO	ABNAmro
ABN AMRO	ABN AMRO North America
ABN AMRO	Amsterdam-Rotterdam Bank
ABN AMRO	ABN Amro
ABN AMRO	RFS Holdings
ABN AMRO	AAC Capital Partners
ABN AMRO	ABN AMRO Fund
ABN AMRO	ABN AMRO Investment Funds
ABN AMRO	ABN AMRO Bank Canada
ABN AMRO	ABN Amro Capital
ABN AMRO	ABN AMRO Capital Funding Trust V
ABN AMRO	ABN AMRO Capital Funding Trust VI
ABN AMRO	ABN AMRO Capital Funding Trust VII
ABN AMRO	Direktbank
ACNielsen	A.C. Nielsen
ACNielsen	AC Nielsen
ACNielsen	A.C.Nielsen
ACNielsen	A C Nielsen
ACNielsen	ACNielson
ACNielsen	ACNeilsen
ACNielsen	ACNeilson
ACNielsen	AC Neilsen
ACNielsen	AC Nielson
ACNielsen	AC Neilson
ACNielsen	A. C. Nielsen
ACNielsen	A.C. Nielsen Company
ACNielsen	Nielsen Consumer
ACNielsen	Arthur C. Nielsen, Jr.
Clément-Bayard	Clement-Bayard
Clément-Bayard	Clément-Bayard No.6
Sapporo Breweries	Sapporo Brewery
Ansaldo	Gio. Ansaldo & C.
Aegon N.V.	Aegon UK Plc
Aegon N.V.	AEGON
Aegon N.V.	Monumental Life Insurance Company
Aegon N.V.	Clark Consulting
Aegon N.V.	Clark, Inc.
Aegon N.V.	Western Reserve Life
Aegon N.V.	Western Reserve Life Assurance Co. of Ohio
Aena	AENA
Aena	Aeropuertos Españoles y Navegación Aérea
Aena	Aeropuertos Espanoles y Navegacion Aerea
Industria Aeronautică Română	Industria Aeronautica Romana
Industria Aeronautică Română	IAR SA
Industria Aeronautică Română	Industria Aeronautica Româna
Industria Aeronautică Română	ICA-Brasov
Aimco	Apartment Investment and Management Company
Aimco	Apartment Investment & Mgmt'A'
Aimco	Apartment Investment & Mgmt
Aimco	Apartment Investment & MgmtA
Aimco	APARTMENT INVT & MGMT
Aimco	Apartment Investment & Management Company
Aimco	AIMCO
Albtelecom	ALBtelecom
AMAG Automobil- und Motoren	Autombil- und Motoren AG
AMAG Automobil- und Motoren	AMAG (Switzerland)
AMAG Automobil- und Motoren	AMAG Automobil- und Motoren AG
AMC Theatres	AMC Theaters
AMC Theatres	AMC Entertainment Incorporated
AMC Theatres	AMC Entertainment Inc
AMC Theatres	AMC Cinemas
AMC Theatres	General Cinemas
AMC Theatres	AMC Entertainment
AMC Theatres	General Cinemas Companies Inc.
AMC Theatres	AMC Loews Theatres
AMC Theatres	AMC Entertainment, Inc.
AMC Theatres	AMC Theater
AMC Theatres	AMC Theatre
AMC Theatres	Durwood Theatre
AMC Theatres	Durwood Theatres
AMC Theatres	American Multi-Cinema
AMC Theatres	American Multi-Cinemas
AMC Theatres	American Multi Cinema
AMC Theatres	American Multi Cinemas
AMC Theatres	Cinema Sounds
AMC Theatres	Planet Movies by AMC
AMC Theatres	Planet Movies
AMC Theatres	AMC Cines
AMC Theatres	AMC Loews
AMP Limited	Australian Mutual Provident Society
AMP Limited	AMP Society
AMP Limited	AMP Ltd
AMP Limited	Amp ltd
AMP Limited	AMP Financial Services
AMP Limited	AMP limited
AMP Limited	AMP Bank
ANAS	Azienda Nazionale Autonoma delle Strade
ANZ Bank New Zealand	ANZ National
ANZ Bank New Zealand	ANZ New Zealand
ANZ Bank New Zealand	ANZ National Bank
ARC Resources	ARC Energy Trust
ARC Resources	ARC Resources Ltd.
ASB Bank	Auckland Savings Bank
ASB Bank	ASB bank
ASB Bank	Asbbank.co.nz
ASB Bank	ASB Information Centre
ASFiNAG	ASFINAG
AVL (engineering company)	AVL List
AVL (engineering company)	Avl list
AVL (engineering company)	Avl gmbh
AVL (engineering company)	AVL gmbh
AVL (engineering company)	AVL Gmbh
AVL (engineering company)	AVL GmbH
AVL (engineering company)	List Gmbh
AVL (engineering company)	List GmbH
AVL (engineering company)	AVL (Anstalt für Verbrennungskraftmaschinen List)
AVL (engineering company)	AVL (Anstalt fuer Verbrennungskraftmaschinen List)
AVL (engineering company)	AVL (Anstalt fur Verbrennungskraftmaschinen List)
AVL (engineering company)	AVL (Engineering Firm)
AVM GmbH	AVM A1-Card
AVM GmbH	A1-Card
AVM GmbH	A1 Card
AVM GmbH	A1 card
A Band Apart	Band Apart
OBI	Obi
OBI	OBI GmbH & Co. Deutschland KG
Aardman Animations	Aardman Animation
Aardman Animations	Aardman
Aardman Animations	Aardman Features
Aardman Animations	Aardman Studios
Aardman Animations	Aardman Animations, Ltd.
Aardman Animations	Ardman Animation
Aardman Animations	Aardman Classics
Aareal Bank	AarealBank
Österreichische Industrieholding	Osterreichische Industrieholding AG
Österreichische Industrieholding	ÖIAG
Österreichische Industrieholding	Österreichische Industrieholding AG
Österreichische Industrieholding	Osterreichische Industrieholding
Abant Izzet Baysal University	Abant İzzet Baysal Üniversitesi
